"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.67446421251197e-15,1.95090838882547,0.141,0.056,4.99482936328735e-11,"2","Ntm"
2.83726781696814e-15,1.45063192108626,0.163,0.07,5.2988813749697e-11,"2","Thrsp"
4.35553661507703e-15,0.695849777705337,0.632,0.527,8.13440018231787e-11,"2","Ier5"
4.64395750074963e-15,0.780988339954358,0.469,0.334,8.67305502840002e-11,"2","Scoc"
5.00046750392327e-15,2.00433552787938,0.135,0.052,9.33887311032710e-11,"2","Pantr1"
1.01517419993916e-14,0.431410330558419,0.767,0.636,1.89593933580638e-10,"2","Hspa5"
1.03202558844599e-14,1.33600430205177,0.178,0.082,1.92741098898174e-10,"2","Cd48"
1.4821128007437e-14,1.26126765880715,0.147,0.059,2.76799386666893e-10,"2","Ptpro"
1.57428160659773e-14,1.62558409266374,0.106,0.035,2.94012832848191e-10,"2","Il16"
1.70581782302184e-14,1.10827078176594,0.239,0.13,3.18578536627558e-10,"2","Asph"
1.71705585594947e-14,1.76415013349231,0.187,0.092,3.20677351657124e-10,"2","Gpr37l1"
1.90824168433013e-14,1.01809804616552,0.22,0.111,3.56383216965496e-10,"2","Fam134b"
1.95355508790599e-14,1.10426873482539,0.255,0.14,3.64845948217324e-10,"2","Tnpo3"
2.52455404807292e-14,0.853739733085465,0.297,0.173,4.71485714018098e-10,"2","Lcp1"
2.70735356514893e-14,1.4585095979842,0.14,0.057,5.05625351827214e-10,"2","Dclk1"
3.0280710740515e-14,1.23830801233475,0.154,0.065,5.65522553789857e-10,"2","Tubb2b"
3.13719393891443e-14,1.08107185590928,0.234,0.125,5.85902340031659e-10,"2","Tifa"
3.17122818778329e-14,0.794111888845504,0.41,0.279,5.92258576350408e-10,"2","Hist2h2aa1"
3.22891361085332e-14,1.31519190043827,0.185,0.089,6.03031905962967e-10,"2","Ncf1"
3.70855911270579e-14,1.25792087118856,0.161,0.071,6.92610499888934e-10,"2","Spint1"
3.7527224992296e-14,2.18695810379791,0.305,0.196,7.0085845395612e-10,"2","Aldoc"
3.82857301787886e-14,0.400160470281918,0.849,0.781,7.15024296819055e-10,"2","Calm2"
3.85743810309336e-14,1.55971180856534,0.122,0.045,7.20415140133715e-10,"2","Fam102b"
4.40563066782609e-14,1.34498159834273,0.213,0.113,8.227955835232e-10,"2","Gpm6b"
4.41250802962911e-14,1.28912765908861,0.26,0.149,8.24079999613533e-10,"2","Atp1b2"
4.41272474849207e-14,1.90630971914192,0.115,0.042,8.24120474028378e-10,"2","Nfam1"
4.46804695254332e-14,1.80148621133322,0.133,0.053,8.3445244885699e-10,"2","Gria2"
4.72028171572319e-14,1.76907903747502,0.101,0.032,8.81559813228463e-10,"2","Phyhipl"
4.93106597626695e-14,1.69445119511494,0.134,0.054,9.20925881727616e-10,"2","Cxcl14"
5.33765989357438e-14,1.33361496365886,0.19,0.093,9.96861361723951e-10,"2","Pla2g7"
6.14537302171355e-14,0.626987454992054,0.498,0.368,1.14770986553522e-09,"2","Erp29"
6.41182573987346e-14,1.33243461966839,0.202,0.103,1.19747257517877e-09,"2","Sox4"
6.46912108238159e-14,1.27830374811906,0.165,0.074,1.20817305334559e-09,"2","Naaa"
7.01972666786841e-14,1.01424984698191,0.245,0.135,1.3110041524911e-09,"2","Slc9a3r1"
7.93370145412311e-14,1.60452368952011,0.114,0.041,1.48169808357203e-09,"2","BC035044"
8.1768430268049e-14,1.81066976177059,0.19,0.097,1.52710720368608e-09,"2","Ntsr2"
8.68583751214403e-14,1.06936188674606,0.233,0.127,1.62216701376802e-09,"2","Stard3"
9.24949934893688e-14,1.83561459621201,0.101,0.033,1.72743649840745e-09,"2","Cryba4"
9.44293953953617e-14,1.68083391153452,0.104,0.035,1.76356338840377e-09,"2","Il1a"
1.08938613838586e-13,1.50524237170239,0.134,0.054,2.03453755204944e-09,"2","Dapp1"
1.18882446607725e-13,1.3449003430702,0.13,0.051,2.22024857284588e-09,"2","Ptafr"
1.29791556777126e-13,1.69620960514377,0.142,0.061,2.4239871143696e-09,"2","Mmd2"
1.32341320335328e-13,0.938792030309803,0.307,0.187,2.47160649858259e-09,"2","Ctsf"
1.32627533555015e-13,1.18295879064158,0.148,0.062,2.47695181667346e-09,"2","Pfn2"
1.41872042176332e-13,1.19591220858003,0.18,0.086,2.64960225968518e-09,"2","Ogfrl1"
1.67087610515634e-13,0.96212406212553,0.296,0.18,3.12052821398998e-09,"2","Tmcc3"
1.81648109017042e-13,1.33988115649712,0.151,0.065,3.39246008400227e-09,"2","Ank2"
1.88521000754697e-13,1.62220144967335,0.102,0.035,3.52081821009472e-09,"2","Myo1f"
1.98811981011144e-13,1.1661009124782,0.185,0.091,3.71301255736413e-09,"2","Mknk1"
2.00541877444452e-13,1.4420681047721,0.118,0.044,3.74532010315258e-09,"2","Tifab"
2.12017694430988e-13,1.44504970536932,0.155,0.07,3.95964246119314e-09,"2","Slc29a3"
3.28940044348119e-13,1.00410422662625,0.199,0.102,6.14328426824547e-09,"2","Gpsm3"
